method,dataset,biastype,r,estbias,rmsd
FUBAR1,amine,bias,0.883528306671959,0.071664675905706,0.176439390153162
FUBAR1,amine,nobias,0.960974822571626,0.0826575956740932,0.117010752417895
FUBAR1,camelid,bias,0.419600455596472,-0.221612567332783,1.66701332609814
FUBAR1,camelid,nobias,0.546423209592935,-0.174474243261453,1.31401558441414
FUBAR1,h3,bias,0.381462759906902,-1.50373181053965,9.02566345554518
FUBAR1,h3,nobias,0.329339378171532,-1.47257696296979,8.13622954101505
FUBAR1,hivrt,bias,0.528168596995121,-0.00169036710247822,1.35564291330055
FUBAR1,hivrt,nobias,0.566405465523333,-0.0784809782419755,1.45003746738125
FUBAR1,vertrho,bias,0.481690526469766,-0.0596684496911942,1.19477230025427
FUBAR1,vertrho,nobias,0.539867377540107,-0.042468683121254,0.968247030536853
FUBAR2,amine,bias,0.925678484394516,0.0697082181890395,0.148986552320557
FUBAR2,amine,nobias,0.951639053938576,0.0512390488341551,0.104606794148375
FUBAR2,camelid,bias,0.643812144358027,-0.11162848877755,1.46401466137023
FUBAR2,camelid,nobias,0.672699467051203,-0.0566806758515237,1.16471477753367
FUBAR2,h3,bias,0.474784623652504,-1.4579895689273,8.88227447998395
FUBAR2,h3,nobias,0.407224314934285,-1.38064458261721,8.01790461902743
FUBAR2,hivrt,bias,0.65098129666942,0.0325436393127047,1.2498097540445
FUBAR2,hivrt,nobias,0.675899255028481,-0.00623722154076155,1.32240818946901
FUBAR2,vertrho,bias,0.618620270901118,9.21347892640683e-05,1.10802948279892
FUBAR2,vertrho,nobias,0.65999234845092,0.0380903071392321,0.893491312523256
