ObservedSChanges	ObservedNSChanges	E[SSites]	E[NSSites]	ObservedS.Prop.	P{S}	dS	dN	dN-dS	P{Sleq.observed}	P{Sgeq.observed}	ScaleddN-dS
25	1	0.9999489223200467	2.000025538839969	0.9615384615384616	0.3333191449681179	25.0012770072254	0.4999936153715357	-24.50128339185386	0.9999999999996075	2.082856109808517e-11	-0.8163074311376103
68	9	0.9962152219615408	2.003784778038449	0.8831168831168831	0.3320717406538481	68.25834267630289	4.491500334087929	-63.76684234221496	1.000000000000004	-4.218847493575595e-15	-2.124515129743656
51	1	0.6374788949505172	2.177285554975873	0.9807692307692307	0.2264768176133489	80.00264856448111	0.4592874819357727	-79.54336108254533	0.9999999999999957	4.329869796038111e-15	-2.650140227794449
19	3	0.9986731964014373	2.001326803598553	0.8636363636363636	0.3328910654671469	19.02524276055824	1.49900555701635	-17.52623720354189	0.9999999698935831	4.136826032841157e-07	-0.5839203375725368
14	0	0.6374788949505169	2.177097028149249	1	0.2264919875561377	21.96151137064188	0	-21.96151137064188	1	9.348453122726141e-10	-0.7316900361565771
23	1	0.9999592828871102	2.000040717112881	0.9583333333333334	0.333319760962371	23.00093653172933	0.499989820929011	-22.50094671080032	0.9999999999964624	1.733359011879543e-10	-0.7496623631464354
35	2	0.9997340293635413	2.000130214772247	0.9459459459459459	0.3332597571099583	35.00931144884803	0.9999348968525724	-34.00937655199546	1	5.329070518200751e-15	-1.133087861715088
43	0	0.6374788949505168	2.177097028149249	1	0.2264919875561376	67.45321349554294	0	-67.45321349554294	0.9999999999999989	1.110223024625157e-15	-2.247333682480916
69	0	0.9999999999999969	1.999999999999994	1	0.3333333333333333	69.00000000000021	0	-69.00000000000021	1.000000000000002	-2.442490654175344e-15	-2.298867853070186
21	0	0.9999999999999969	1.999999999999994	1	0.3333333333333333	21.00000000000006	0	-21.00000000000006	1	9.559908420442298e-11	-0.6996554335431
14	1	0.9999370545317403	2.000028689975544	0.9333333333333333	0.333316157480315	14.00088129202897	0.4999928276090019	-13.50088846441997	0.9999999303621276	2.158935547003082e-06	-0.4498080938947983
21.5	5.5	0.9976298450425324	2.001173560315437	0.7962962962962963	0.3326759744436947	21.55107939767317	2.748387300866126	-18.80269209680705	0.9999997985646216	1.563226294631903e-06	-0.6264478900366149
39	41	0.6497616535553781	2.339618453631457	0.4875	0.2173566526362009	60.02200928078637	17.52422491640101	-42.49778436438535	0.9999999751435931	8.891510216990639e-08	-1.415895511623101
60	52	0.6556106520207361	2.342484851605593	0.5357142857142857	0.218675706370176	91.51773207934743	22.19864942322167	-69.31908265612576	0.9999999999999407	2.515765373800605e-13	-2.309498706122929
38	6	0.637760061305338	2.177740802593317	0.8636363636363636	0.2265174447228635	59.58353667086544	2.755148818837864	-56.82838785202757	0.9999999999999992	7.771561172376096e-16	-1.893347159055508
27	7	0.6374788949505171	2.267420969569857	0.7941176470588235	0.2194495248309603	42.35434335766647	3.087207930924244	-39.26713542674223	0.9999999999998835	1.678102101720924e-12	-1.308260221952042
39	122	0.7155204642544495	2.119119023394113	0.2422360248447205	0.2524202697987531	54.50577858822921	57.57109376735111	3.065315179121896	0.4237822000258218	0.6462374535809994	0.1021268771711795
71	44	0.7421148288777915	2.126395654941574	0.6173913043478261	0.2587108651210785	95.67252564857722	20.69229209425231	-74.98023355432491	0.9999999999999897	1.088018564132653e-14	-2.498110848314949
30	6	0.9990436226022393	2.000956377397751	0.8333333333333334	0.3330145408674142	30.02871878793249	2.998566119568792	-27.0301526683637	0.9999999999153005	8.940500562104603e-10	-0.9005615801866728
44	23	0.9907256130284696	2.009274386971523	0.6567164179104478	0.3302418710094907	44.41189308258614	11.44691842445009	-32.96497465813604	0.9999999883784813	4.706881018279319e-08	-1.098291601722639
17	14	0.9988757637103554	2.001124236289635	0.5483870967741935	0.3329585879034528	17.01913352752996	6.996067383581322	-10.02306614394863	0.9960088599751804	0.01094647128543791	-0.3339377470655013
23	49	0.645305819979235	2.351985435235295	0.3194444444444444	0.2152963342673375	35.64201544120601	20.83346234459058	-14.80855309661543	0.9861892605639939	0.02613660956784303	-0.4933754589027836
19	24	0.6416670075364883	2.355110960317374	0.4418604651162791	0.2141189685787823	29.61037388059814	10.19060265286429	-19.41977122773384	0.9997828662759207	0.0006895854565217574	-0.6470070694118047
9	3	0.9960809365261529	2.003919063473839	0.75	0.3320269788420518	9.035410346660818	1.497066450777424	-7.538343895883393	0.9994753614635412	0.003740222177014974	-0.25115444127006
29	35	0.6402010982467427	2.358269073149526	0.453125	0.2135092435982534	45.29826655939754	14.84139379958735	-30.45687275981019	0.999995046414459	1.604548697975439e-05	-1.014729357863427
48	76	0.7174969308886211	2.143366495525867	0.3870967741935484	0.2507973377071893	66.89924086581377	35.45823831745287	-31.44100254836089	0.9997172366885947	0.0005617475747433653	-1.047517536619194
